TabularTag,DateTime,monET
i1h,2022-04-30T00:00:00,0
i1h,2022-04-30T01:00:00,0
i1h,2022-04-30T03:00:00,0
i1h,2022-04-30T04:00:00,0
i1h,2022-04-30T05:00:00,0
i1h,2022-04-30T06:00:00,0.1654076
i1h,2022-04-30T07:00:00,0.2801284
i1h,2022-04-30T08:00:00,0.5174676
i1h,2022-04-30T09:00:00,0.6975363
i1h,2022-04-30T10:00:00,0.875889
i1h,2022-04-30T11:00:00,0.9652745
i1h,2022-04-30T12:00:00,0.9745164
i1h,2022-04-30T13:00:00,1.019679
i1h,2022-04-30T14:00:00,0.9869927
i1h,2022-04-30T15:00:00,0.8714228
i1h,2022-04-30T16:00:00,0.6965477
i1h,2022-04-30T17:00:00,0.4837536
i1h,2022-04-30T18:00:00,0.2884423
i1h,2022-04-30T19:00:00,0
i1h,2022-04-30T20:00:00,0
i1h,2022-04-30T21:00:00,0
i1h,2022-04-30T22:00:00,0
i1h,2022-04-30T23:00:00,0
i1h,2022-05-01T00:00:00,0
i1h,2022-05-01T01:00:00,0
i1h,2022-05-01T02:00:00,0
i1h,2022-05-01T03:00:00,0
i1h,2022-05-01T04:00:00,0
i1h,2022-05-01T05:00:00,0
i1h,2022-05-01T06:00:00,0.0890921
i1h,2022-05-01T07:00:00,0.1648395
i1h,2022-05-01T08:00:00,0.3160343
i1h,2022-05-01T09:00:00,0.4504372
i1h,2022-05-01T10:00:00,0.5746775
i1h,2022-05-01T11:00:00,0.6594566
i1h,2022-05-01T12:00:00,0.7066933
i1h,2022-05-01T13:00:00,0.7319832
i1h,2022-05-01T14:00:00,0.7668198
i1h,2022-05-01T15:00:00,0.6870568
i1h,2022-05-01T16:00:00,0.5663259
i1h,2022-05-01T17:00:00,0.4084369
i1h,2022-05-01T18:00:00,0.2709346
i1h,2022-05-01T19:00:00,0
i1h,2022-05-01T20:00:00,0
i1h,2022-05-01T21:00:00,0
i1h,2022-05-01T22:00:00,0
i1h,2022-05-01T23:00:00,0
i1h,2022-05-02T00:00:00,0
i1h,2022-05-02T01:00:00,0
i1h,2022-05-02T02:00:00,0
i1h,2022-05-02T03:00:00,0
i1h,2022-05-02T04:00:00,0
i1h,2022-05-02T05:00:00,0
i1h,2022-05-02T06:00:00,0.098121
i1h,2022-05-02T07:00:00,0.1806426
i1h,2022-05-02T08:00:00,0.3784684
i1h,2022-05-02T09:00:00,0.5113105
i1h,2022-05-02T10:00:00,0.6205016
i1h,2022-05-02T11:00:00,0.7122948
i1h,2022-05-02T12:00:00,0.7689036
i1h,2022-05-02T13:00:00,0.7062818
i1h,2022-05-02T14:00:00,0.6479891
i1h,2022-05-02T15:00:00,0.5973785
i1h,2022-05-02T16:00:00,0.5132303
i1h,2022-05-02T17:00:00,0.4216607
i1h,2022-05-02T18:00:00,0.3441026
i1h,2022-05-02T19:00:00,0
i1h,2022-05-02T20:00:00,0
i1h,2022-05-02T21:00:00,0
i1h,2022-05-02T22:00:00,0
i1h,2022-05-02T23:00:00,0
