TabularTag,DateTime,mPresB,monRH,monT
mrc_f,2022-05-01T14:00:00,,59.6,22.9
mrc_f,2022-05-01T14:30:00,,60.3,22.8
mrc_f,2022-05-01T15:00:00,,61.1,22.7
mrc_f,2022-05-01T15:30:00,,61,22.6
mrc_f,2022-05-01T16:00:00,,60.9,22.5
mrc_f,2022-05-01T16:30:00,,61.8,22.4
mrc_f,2022-05-01T17:00:00,,62.6,22.3
mrc_f,2022-05-01T17:30:00,,64.2,22
mrc_f,2022-05-01T18:00:00,,65.8,21.4
mrc_f,2022-05-01T18:30:00,,70,20.6
mrc_f,2022-05-01T19:00:00,,74.3,19.7
mrc_f,2022-05-01T19:30:00,,77.1,19
mrc_f,2022-05-01T20:00:00,,79.9,18.3
mrc_f,2022-05-01T20:30:00,,81.8,17.9
mrc_f,2022-05-01T21:00:00,,83.6,17.4
mrc_f,2022-05-01T21:30:00,,86.1,17
mrc_f,2022-05-01T22:00:00,,88.6,16.7
mrc_f,2022-05-01T22:30:00,,88.9,16.4
mrc_f,2022-05-01T23:00:00,,89.3,16.1
mrc_f,2022-05-01T23:30:00,,90.1,15.9
mrc_f,2022-05-02T00:00:00,,90.9,15.7
